state_name,year,bea_pce_total,bea_pce_durable_goods,bea_pce_nondurable_goods,bea_pce_services,bea_pce_npish
Alabama,2020,34878.0,4247.0,8883.0,21099.0,648.0
Alabama,2021,39174.0,5186.0,10088.0,23412.0,486.0
Alabama,2022,42391.0,5500.0,10968.0,25297.0,626.0
Alaska,2020,47762.0,5925.0,8707.0,30348.0,2782.0
Alaska,2021,53982.0,7104.0,9454.0,34608.0,2816.0
Alaska,2022,59179.0,7491.0,10261.0,38299.0,3129.0
Arizona,2020,40605.0,5268.0,8974.0,25616.0,748.0
Arizona,2021,46023.0,6511.0,10059.0,28806.0,647.0
Arizona,2022,50123.0,6816.0,11156.0,31343.0,808.0
Arkansas,2020,34979.0,4185.0,8412.0,21048.0,1334.0
Arkansas,2021,39231.0,5036.0,9632.0,23274.0,1289.0
Arkansas,2022,42245.0,5212.0,10490.0,25106.0,1437.0
California,2020,47720.0,4760.0,9308.0,31922.0,1730.0
California,2021,54838.0,6013.0,10799.0,36314.0,1712.0
California,2022,60272.0,6451.0,12060.0,39761.0,2000.0
Colorado,2020,47355.0,6109.0,10085.0,29990.0,1170.0
Colorado,2021,54126.0,7333.0,11365.0,34344.0,1084.0
Colorado,2022,59371.0,7829.0,12595.0,37637.0,1310.0
Connecticut,2020,51237.0,5213.0,10075.0,33384.0,2565.0
Connecticut,2021,56371.0,6180.0,11186.0,36602.0,2403.0
Connecticut,2022,60413.0,6472.0,12046.0,39269.0,2626.0
Delaware,2020,45032.0,5279.0,9325.0,29029.0,1399.0
Delaware,2021,50700.0,6353.0,10647.0,32379.0,1321.0
Delaware,2022,54532.0,6616.0,11515.0,34945.0,1456.0
District of Columbia,2020,69929.0,6930.0,13776.0,47105.0,2118.0
District of Columbia,2021,79105.0,8294.0,15329.0,53278.0,2204.0
District of Columbia,2022,85732.0,8725.0,16757.0,57468.0,2783.0
Florida,2020,44655.0,5670.0,9195.0,29440.0,349.0
Florida,2021,51038.0,7122.0,10470.0,33214.0,232.0
Florida,2022,55516.0,7511.0,11577.0,36098.0,330.0
Georgia,2020,38419.0,4672.0,9253.0,24058.0,436.0
Georgia,2021,43681.0,5800.0,10624.0,26971.0,285.0
Georgia,2022,47406.0,6194.0,11682.0,29117.0,413.0
Hawaii,2020,44038.0,3803.0,9589.0,28419.0,2228.0
Hawaii,2021,49543.0,4644.0,10647.0,32219.0,2033.0
Hawaii,2022,54655.0,4973.0,11555.0,35765.0,2362.0
Idaho,2020,34689.0,5149.0,7774.0,21203.0,563.0
Idaho,2021,39639.0,6430.0,8881.0,23884.0,444.0
Idaho,2022,43508.0,6812.0,9955.0,26133.0,609.0
Illinois,2020,43902.0,4901.0,9227.0,27443.0,2331.0
Illinois,2021,49429.0,6060.0,10712.0,30486.0,2170.0
Illinois,2022,54341.0,6467.0,11714.0,33653.0,2507.0
Indiana,2020,38193.0,4535.0,9033.0,23252.0,1373.0
Indiana,2021,42565.0,5498.0,10138.0,25635.0,1294.0
Indiana,2022,46579.0,5818.0,11368.0,27900.0,1491.0
Iowa,2020,37898.0,4933.0,8948.0,22441.0,1576.0
Iowa,2021,42247.0,5895.0,10085.0,24745.0,1521.0
Iowa,2022,45455.0,6065.0,11101.0,26580.0,1709.0
Kansas,2020,38541.0,4246.0,8707.0,24338.0,1250.0
Kansas,2021,42438.0,5086.0,9773.0,26407.0,1171.0
Kansas,2022,46069.0,5345.0,10828.0,28550.0,1346.0
Kentucky,2020,36486.0,4006.0,9452.0,21895.0,1133.0
Kentucky,2021,41027.0,4906.0,10447.0,24573.0,1100.0
Kentucky,2022,44193.0,5098.0,11276.0,26535.0,1284.0
Louisiana,2020,37393.0,4337.0,8990.0,23280.0,786.0
Louisiana,2021,42115.0,5285.0,10135.0,25958.0,737.0
Louisiana,2022,45178.0,5534.0,10959.0,27818.0,866.0
Maine,2020,46170.0,4939.0,10822.0,27798.0,2610.0
Maine,2021,51730.0,5906.0,12188.0,30998.0,2638.0
Maine,2022,55789.0,6131.0,13343.0,33422.0,2894.0
Maryland,2020,43670.0,4617.0,9039.0,28376.0,1638.0
Maryland,2021,48549.0,5577.0,10238.0,31246.0,1487.0
Maryland,2022,52651.0,5862.0,11298.0,33736.0,1754.0
Massachusetts,2020,52701.0,5209.0,10301.0,34982.0,2210.0
Massachusetts,2021,59267.0,6272.0,11608.0,39186.0,2202.0
Massachusetts,2022,64214.0,6620.0,12570.0,42543.0,2481.0
Michigan,2020,41154.0,4544.0,8880.0,25511.0,2218.0
Michigan,2021,46019.0,5488.0,10208.0,28115.0,2208.0
Michigan,2022,49482.0,5809.0,11036.0,30168.0,2470.0
Minnesota,2020,43668.0,5881.0,8335.0,27467.0,1985.0
Minnesota,2021,48846.0,6842.0,9386.0,30668.0,1951.0
Minnesota,2022,52849.0,7236.0,10385.0,33026.0,2202.0
Mississippi,2020,32751.0,3768.0,8660.0,19589.0,733.0
Mississippi,2021,36681.0,4601.0,9716.0,21697.0,666.0
Mississippi,2022,39678.0,4774.0,10673.0,23426.0,805.0
Missouri,2020,40251.0,4463.0,9153.0,25285.0,1350.0
Missouri,2021,44827.0,5435.0,10459.0,27625.0,1308.0
Missouri,2022,48613.0,5650.0,11709.0,29753.0,1501.0
Montana,2020,42067.0,5758.0,8984.0,25687.0,1637.0
Montana,2021,48015.0,7064.0,10270.0,29096.0,1585.0
Montana,2022,51913.0,7323.0,11486.0,31366.0,1738.0
Nebraska,2020,40371.0,5289.0,8702.0,24882.0,1497.0
Nebraska,2021,45469.0,6422.0,9909.0,27690.0,1448.0
Nebraska,2022,49522.0,6649.0,11075.0,30179.0,1620.0
Nevada,2020,40581.0,4875.0,9199.0,25063.0,1445.0
Nevada,2021,46176.0,6158.0,10507.0,28132.0,1380.0
Nevada,2022,50922.0,6634.0,11707.0,30990.0,1591.0
New Hampshire,2020,51357.0,5646.0,10765.0,32405.0,2541.0
New Hampshire,2021,56507.0,6900.0,11875.0,35248.0,2484.0
New Hampshire,2022,60828.0,7334.0,13282.0,37398.0,2814.0
New Jersey,2020,48875.0,4910.0,10451.0,30291.0,3223.0
New Jersey,2021,55472.0,6090.0,12120.0,34024.0,3238.0
New Jersey,2022,60082.0,6407.0,12961.0,36998.0,3716.0
New Mexico,2020,35031.0,4034.0,8032.0,21667.0,1298.0
New Mexico,2021,39950.0,5071.0,9238.0,24348.0,1293.0
New Mexico,2022,43336.0,5268.0,10177.0,26389.0,1501.0
New York,2020,47813.0,4166.0,9951.0,31611.0,2085.0
New York,2021,53354.0,5062.0,10975.0,35370.0,1947.0
New York,2022,58571.0,5394.0,12044.0,38821.0,2312.0
North Carolina,2020,39063.0,5192.0,9415.0,24270.0,186.0
North Carolina,2021,44287.0,6430.0,10535.0,27293.0,29.0
North Carolina,2022,47834.0,6852.0,11529.0,29328.0,126.0
North Dakota,2020,45008.0,5783.0,8845.0,28238.0,2142.0
North Dakota,2021,49209.0,6793.0,9837.0,30433.0,2146.0
North Dakota,2022,52631.0,6995.0,10545.0,32707.0,2384.0
Ohio,2020,39700.0,4693.0,9099.0,23929.0,1979.0
Ohio,2021,44215.0,5668.0,10124.0,26466.0,1957.0
Ohio,2022,47768.0,5977.0,11218.0,28397.0,2177.0
Oklahoma,2020,34747.0,4624.0,8167.0,21502.0,454.0
Oklahoma,2021,38889.0,5636.0,9172.0,23821.0,260.0
Oklahoma,2022,42046.0,5792.0,10122.0,25784.0,349.0
Oregon,2020,42277.0,5628.0,9124.0,25971.0,1555.0
Oregon,2021,47649.0,6885.0,10367.0,28872.0,1526.0
Oregon,2022,52159.0,7348.0,11571.0,31475.0,1766.0
Pennsylvania,2020,44184.0,4913.0,9360.0,27846.0,2066.0
Pennsylvania,2021,48874.0,5888.0,10544.0,30441.0,2001.0
Pennsylvania,2022,53703.0,6255.0,11887.0,33275.0,2286.0
Rhode Island,2020,43199.0,4076.0,9059.0,27959.0,2105.0
Rhode Island,2021,48711.0,4890.0,10214.0,31539.0,2068.0
Rhode Island,2022,52820.0,5145.0,10862.0,34444.0,2369.0
South Carolina,2020,38134.0,4529.0,9567.0,23254.0,784.0
South Carolina,2021,42930.0,5515.0,10844.0,25908.0,663.0
South Carolina,2022,46220.0,5726.0,11793.0,27871.0,830.0
South Dakota,2020,41284.0,4528.0,8017.0,26661.0,2078.0
South Dakota,2021,45944.0,5412.0,9000.0,29489.0,2043.0
South Dakota,2022,48997.0,5543.0,9851.0,31342.0,2261.0
Tennessee,2020,37751.0,4319.0,8769.0,23977.0,687.0
Tennessee,2021,42741.0,5406.0,9992.0,26743.0,600.0
Tennessee,2022,46280.0,5620.0,10905.0,29032.0,724.0
Texas,2020,40235.0,5162.0,9239.0,24855.0,979.0
Texas,2021,45460.0,6520.0,10455.0,27596.0,889.0
Texas,2022,49082.0,6847.0,11474.0,29721.0,1040.0
Utah,2020,38228.0,7162.0,8120.0,21844.0,1103.0
Utah,2021,43850.0,8909.0,9306.0,24579.0,1055.0
Utah,2022,48189.0,9475.0,10457.0,27077.0,1180.0
Vermont,2020,47168.0,4827.0,10214.0,29401.0,2726.0
Vermont,2021,51197.0,5674.0,10950.0,31871.0,2703.0
Vermont,2022,55743.0,6055.0,12142.0,34553.0,2992.0
Virginia,2020,42913.0,5108.0,9580.0,27113.0,1111.0
Virginia,2021,48003.0,6092.0,10722.0,30324.0,865.0
Virginia,2022,52057.0,6338.0,11663.0,32982.0,1074.0
Washington,2020,46208.0,5590.0,9060.0,29633.0,1926.0
Washington,2021,52155.0,6856.0,10168.0,33195.0,1936.0
Washington,2022,56567.0,7254.0,10978.0,36144.0,2191.0
West Virginia,2020,37395.0,3677.0,8618.0,23214.0,1885.0
West Virginia,2021,41273.0,4404.0,9652.0,25284.0,1933.0
West Virginia,2022,44460.0,4570.0,10701.0,27077.0,2111.0
Wisconsin,2020,40430.0,5113.0,8880.0,24489.0,1947.0
Wisconsin,2021,45491.0,6082.0,10081.0,27413.0,1915.0
Wisconsin,2022,49284.0,6409.0,11416.0,29327.0,2132.0
Wyoming,2020,44286.0,4818.0,9584.0,28836.0,1048.0
Wyoming,2021,48858.0,5657.0,10958.0,31274.0,969.0
Wyoming,2022,52403.0,5951.0,12189.0,33059.0,1204.0
